"fdc_id","food_code","wweia_category_code","start_date","end_date"
"781593","13160400","5802","2015-01-01","2016-12-31"
"781594","13160410","5802","2015-01-01","2016-12-31"
"781595","13160420","5802","2015-01-01","2016-12-31"
"781596","13161000","5802","2015-01-01","2016-12-31"
"781597","13161500","5802","2015-01-01","2016-12-31"
"781598","13161520","5802","2015-01-01","2016-12-31"
"781599","13161600","5802","2015-01-01","2016-12-31"
"781600","13161630","5802","2015-01-01","2016-12-31"
"781601","13170000","5802","2015-01-01","2016-12-31"
"781602","13200110","5804","2015-01-01","2016-12-31"
"781603","13210110","5804","2015-01-01","2016-12-31"
"781604","13210150","5804","2015-01-01","2016-12-31"
"781605","13210160","5804","2015-01-01","2016-12-31"
"781606","13210180","5804","2015-01-01","2016-12-31"
"781607","13210190","5804","2015-01-01","2016-12-31"
"781608","13210220","5804","2015-01-01","2016-12-31"
"781609","13210250","5804","2015-01-01","2016-12-31"
"781610","13210260","5804","2015-01-01","2016-12-31"
"781611","13210270","5804","2015-01-01","2016-12-31"
